Timestamp,UTC,Latitude,Longitude
1745337329.1870403,2025/04/22 - 15:55:28,49.38419183333333,1.068892
1745337329.307684,2025/04/22 - 15:55:29,49.38419183333333,1.0688935
1745337330.2783377,2025/04/22 - 15:55:30,49.38419183333333,1.0688941666666667
1745337331.3011103,2025/04/22 - 15:55:31,49.38419233333333,1.0688941666666667
1745337332.271764,2025/04/22 - 15:55:32,49.3841925,1.0688935
1745337333.2955768,2025/04/22 - 15:55:33,49.384192999999996,1.068893
1745337334.2651474,2025/04/22 - 15:55:34,49.38419316666667,1.0688923333333333
1745337335.2893894,2025/04/22 - 15:55:35,49.38419366666667,1.0688918333333333
1745337336.316872,2025/04/22 - 15:55:36,49.38419366666667,1.0688913333333334
1745337337.2912092,2025/04/22 - 15:55:37,49.384193833333335,1.0688908333333333
1745337338.3170598,2025/04/22 - 15:55:38,49.38419416666667,1.0688905
1745337339.2896533,2025/04/22 - 15:55:39,49.3841925,1.068895
1745337340.3141067,2025/04/22 - 15:55:40,49.384191333333334,1.0688995
1745337341.2856271,2025/04/22 - 15:55:41,49.384189666666664,1.068904
1745337342.3114107,2025/04/22 - 15:55:42,49.384188333333334,1.0689086666666667
1745337343.2850604,2025/04/22 - 15:55:43,49.38418716666666,1.0689136666666668
1745337541.1901698,2025/04/22 - 15:59:01,49.384268666666664,262.0462025
1745337542.2139626,2025/04/22 - 15:59:02,49.3842655,1.0686261666666665
1745337543.1832707,2025/04/22 - 15:59:03,49.3842655,1.0686258333333334
1745337544.2076132,2025/04/22 - 15:59:04,49.384265666666664,1.068625
1745337545.1787782,2025/04/22 - 15:59:05,49.384265666666664,1.0686235
1745337546.2009714,2025/04/22 - 15:59:06,49.384265666666664,1.0686228333333334
1745337547.2234888,2025/04/22 - 15:59:07,49.384265666666664,1.0686221666666667
1745338109.1366165,2025/04/22 - 16:08:28,49.38429216666667,1.0685146666666667
1745338109.2590213,2025/04/22 - 16:08:29,49.38429266666667,1.0685138333333333
1745338110.233679,2025/04/22 - 16:08:30,49.38429266666667,1.0685135
1745338111.2564664,2025/04/22 - 16:08:31,49.38429266666667,1.0685128333333334
1745338112.2818213,2025/04/22 - 16:08:32,49.38429283333333,1.0685123333333333
1745338113.2547798,2025/04/22 - 16:08:33,49.38429333333333,1.0685121666666666
1745338114.2787528,2025/04/22 - 16:08:34,49.38429333333333,1.068512
1745338115.2456205,2025/04/22 - 16:08:35,49.38429333333333,1.0685115
1745338116.2703478,2025/04/22 - 16:08:36,49.38429333333333,1.0685116666666667
1748424110.3363507,2025/05/28 - 09:21:50,49.3846395,1.0651950000000001
1748424111.2113185,2025/05/28 - 09:21:51,49.38463466666666,1.0651798333333333
1748424112.191882,2025/05/28 - 09:21:52,49.38463,1.0651673333333334
1748424113.1666486,2025/05/28 - 09:21:53,49.38460116666666,1.065059
1748424114.1922338,2025/05/28 - 09:21:54,49.38459266666666,1.0650261666666667
1748424115.1641543,2025/05/28 - 09:21:55,49.384586666666664,1.0650030000000001
1748424116.192724,2025/05/28 - 09:21:56,49.38458133333333,1.0649781666666667
